country,iso3,year,value
Africa Eastern and Southern,AFE,2023,1245472471675.95
Africa Western and Central,AFW,2023,799105950273.831
Arab World,ARB,2023,3512421040998.19
Caribbean small states,CSS,2023,53296161046.3074
Central Europe and the Baltics,CEB,2023,2267760561102.28
Early-demographic dividend,EAR,2023,14945896099125.4
East Asia & Pacific,EAS,2023,30780176881541.3
East Asia & Pacific (excluding high income),EAP,2023,21162836277192.4
East Asia & Pacific (IDA & IBRD countries),TEA,2023,21136712800814.7
Euro area,EMU,2023,15780686672317.3
Europe & Central Asia,ECS,2023,27554069781140.1
Europe & Central Asia (excluding high income),ECA,2023,2129704371516.14
Europe & Central Asia (IDA & IBRD countries),TEC,2023,5497903850286.88
European Union,EUU,2023,18590720056635.3
Fragile and conflict affected situations,FCS,2023,1937937125126.32
Heavily indebted poor countries (HIPC),HPC,2023,1129946910802.31
High income,,2023,68276492853979.9
IBRD only,IBD,2023,38789302232983.5
IDA & IBRD total,IBT,2023,41669008262158.8
IDA blend,IDB,2023,1068437562493.42
IDA only,IDX,2023,1814046621127.36
IDA total,IDA,2023,2880514996348.02
Late-demographic dividend,LTE,2023,28348483457826.9
Latin America & Caribbean,LCN,2023,7100142198622.08
Latin America & Caribbean (excluding high income),LAC,2023,6057469575864.84
Latin America & the Caribbean (IDA & IBRD countries),TLA,2023,6779682191342.68
Least developed countries: UN classification,LDC,2023,1516309568380.52
Low & middle income,LMY,2023,37533765909928.0
Low income,,2023,663529162731.73
Lower middle income,,2023,7439509140290.38
Middle East & North Africa,MEA,2023,4320566779119.19
Middle East & North Africa (excluding high income),MNA,2023,1671174615296.29
Middle East & North Africa (IDA & IBRD countries),TMN,2023,1653767249808.37
Middle income,MIC,2023,36878123654872.8
North America,NAC,2023,29871321614401.4
Not classified,,2023,
OECD members,OED,2023,64746562052056.7
Other small states,OSS,2023,241086470734.391
Pacific island small states,PSS,2023,11150695760.1484
Post-demographic dividend,PST,2023,60485245420468.7
Pre-demographic dividend,PRE,2023,1566942319113.72
Small states,SST,2023,305546743662.392
South Asia,SAS,2023,4494987381110.1
South Asia (IDA & IBRD),TSA,2023,4494987381110.1
Sub-Saharan Africa,SSF,2023,2044578421949.78
Sub-Saharan Africa (excluding high income),SSA,2023,2042436971778.64
Sub-Saharan Africa (IDA & IBRD countries),TSS,2023,2044578421949.78
Upper middle income,,2023,29440021018933.5
World,WLD,2023,106171667873321.0
Afghanistan,AFG,2023,17233051620.1117
Albania,ALB,2023,23547179830.4413
Algeria,DZA,2023,247626161016.414
American Samoa,ASM,2023,
Andorra,AND,2023,3785067331.7625
Angola,AGO,2023,84824654481.7249
Antigua and Barbuda,ATG,2023,2033085185.18518
Argentina,ARG,2023,646075277525.125
Armenia,ARM,2023,24085749592.3359
Aruba,ABW,2023,3648573136.15155
Australia,AUS,2023,1728057316695.61
Austria,AUT,2023,511685203845.001
Azerbaijan,AZE,2023,72356176470.5882
"Bahamas, The",BHS,2023,14338500000.0
Bahrain,BHR,2023,46079867021.2766
Bangladesh,BGD,2023,437415331040.994
Barbados,BRB,2023,6720733200.0
Belarus,BLR,2023,71857382745.6066
Belgium,BEL,2023,644782756682.756
Belize,BLZ,2023,3066850000.0
Benin,BEN,2023,19676049075.7011
Bermuda,BMU,2023,8141700000.0
Bhutan,BTN,2023,
Bolivia,BOL,2023,45135398008.8166
Bosnia and Herzegovina,BIH,2023,27514782476.0406
Botswana,BWA,2023,19396084498.0084
Brazil,BRA,2023,2173665655937.27
British Virgin Islands,VGB,2023,
Brunei Darussalam,BRN,2023,15128292980.8638
Bulgaria,BGR,2023,102407653020.606
Burkina Faso,BFA,2023,20324617844.5265
Burundi,BDI,2023,2642161668.85211
Cabo Verde,CPV,2023,2533819406.4916
Cambodia,KHM,2023,42335646895.7984
Cameroon,CMR,2023,49279410982.826
Canada,CAN,2023,2142470914401.36
Cayman Islands,CYM,2023,7139428557.71423
Central African Republic,CAF,2023,2555492085.24831
Chad,TCD,2023,13149325362.3347
Channel Islands,CHI,2023,12507927144.1342
Chile,CHL,2023,335533331669.219
China,CHN,2023,17794783039552.0
Colombia,COL,2023,363493841244.303
Comoros,COM,2023,1352380971.24055
"Congo, Dem. Rep.",COD,2023,66383287002.9867
"Congo, Rep.",COG,2023,15321055822.5167
Costa Rica,CRI,2023,86497941439.0174
Cote d'Ivoire,CIV,2023,78875489245.0538
Croatia,HRV,2023,84393795502.4421
Cuba,CUB,2023,
Curacao,CUW,2023,3281419347.37053
Cyprus,CYP,2023,33886930712.3394
Czechia,CZE,2023,343207874553.734
Denmark,DNK,2023,407091920305.404
Djibouti,DJI,2023,4098530513.55777
Dominica,DMA,2023,653992592.592593
Dominican Republic,DOM,2023,121444279313.931
Ecuador,ECU,2023,118844826000.0
"Egypt, Arab Rep.",EGY,2023,396002496996.96
El Salvador,SLV,2023,34015620000.0
Equatorial Guinea,GNQ,2023,12337550583.754
Eritrea,ERI,2023,
Estonia,EST,2023,41291245222.1948
Eswatini,SWZ,2023,4442875788.08505
Ethiopia,ETH,2023,163697927593.982
Faroe Islands,FRO,2023,3907323961.33964
Fiji,FJI,2023,5442046565.04719
Finland,FIN,2023,295532341254.907
France,FRA,2023,3051831611384.76
French Polynesia,PYF,2023,
Gabon,GAB,2023,19388402541.6698
"Gambia, The",GMB,2023,2396111021.64149
Georgia,GEO,2023,30777833585.4441
Germany,DEU,2023,4525703903627.53
Ghana,GHA,2023,76370396722.154
Gibraltar,GIB,2023,
Greece,GRC,2023,243498333237.802
Greenland,GRL,2023,
Grenada,GRD,2023,1316733333.33333
Guam,GUM,2023,
Guatemala,GTM,2023,104450210572.012
Guinea,GIN,2023,22199409741.2578
Guinea-Bissau,GNB,2023,2048348108.35852
Guyana,GUY,2023,17159509565.4676
Haiti,HTI,2023,19850829757.5418
Honduras,HND,2023,34400509852.0436
"Hong Kong SAR, China",HKG,2023,380812234827.832
Hungary,HUN,2023,212388906458.724
Iceland,ISL,2023,31325116556.3807
India,IND,2023,3567551674623.01
Indonesia,IDN,2023,1371171152331.16
"Iran, Islamic Rep.",IRN,2023,404625655204.619
Iraq,IRQ,2023,250842782139.464
Ireland,IRL,2023,551394889339.778
Isle of Man,IMN,2023,
Israel,ISR,2023,513611100815.691
Italy,ITA,2023,2300941152991.81
Jamaica,JAM,2023,19423355409.2316
Japan,JPN,2023,4204494802431.55
Jordan,JOR,2023,50967475352.1127
